color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,category
Steven Quale,277.0,92.0,77.0,495.0,Jacqueline MacInnes Wood,703.0,42575718.0,Horror,Emma Bell,Final Destination 5 ,83788,3074,Courtney B. Vance,0.0,blood splatter|death|eyeball run over by car|latex gloves|suspension bridge,http://www.imdb.com/title/tt1622979/?ref_=fn_tt_tt_1,227.0,English,USA,R,40000000.0,2011.0,682.0,5.9,2.35,20000,Emma_Bell|Jacqueline_MacInnes_Wood|Courtney_B._Vance|Steven_Quale,1
Ron Clements,228.0,97.0,63.0,525.0,Jenifer Lewis,852.0,104374107.0,Animation|Family|Fantasy|Musical|Romance,Oprah Winfrey,The Princess and the Frog ,89351,2480,Anika Noni Rose,0.0,amphibian|dream|frog|frog prince|waitress,http://www.imdb.com/title/tt0780521/?ref_=fn_tt_tt_1,214.0,English,USA,G,105000000.0,2009.0,578.0,7.1,1.85,5000,Oprah_Winfrey|Jenifer_Lewis|Anika_Noni_Rose|Ron_Clements,4
Michel Gondry,447.0,119.0,1000.0,741.0,Tom Wilkinson,11000.0,98780042.0,Action|Comedy|Crime|Sci-Fi|Thriller,Christoph Waltz,The Green Hornet ,136019,13391,Chad L. Coleman,0.0,heir|kung fu|party|playboy|superhero,http://www.imdb.com/title/tt0990407/?ref_=fn_tt_tt_1,443.0,English,USA,PG-13,120000000.0,2011.0,1000.0,5.8,2.35,14000,Christoph_Waltz|Tom_Wilkinson|Chad_L._Coleman|Michel_Gondry,22
Simon Wells,124.0,96.0,25.0,102.0,Alan Young,891.0,56684819.0,Action|Adventure|Sci-Fi,Mark Addy,The Time Machine ,103787,1919,Josh Stamberg,0.0,hunter|scientist|time machine|time travel|time travel romance,http://www.imdb.com/title/tt0268695/?ref_=fn_tt_tt_1,615.0,English,USA,PG-13,80000000.0,2002.0,639.0,5.9,2.35,3000,Mark_Addy|Alan_Young|Josh_Stamberg|Simon_Wells,32
Rupert Wyatt,175.0,111.0,81.0,81.0,Cjon Saulsberry,3000.0,33631221.0,Crime|Drama|Thriller,George Kennedy,The Gambler ,48559,3784,Griffin Cleveland,1.0,dog|gambler|gambling|gangster|professor,http://www.imdb.com/title/tt2039393/?ref_=fn_tt_tt_1,145.0,English,USA,R,25000000.0,2014.0,571.0,6.0,2.35,0,George_Kennedy|Cjon_Saulsberry|Griffin_Cleveland|Rupert_Wyatt,34
John Waters,52.0,95.0,0.0,650.0,Sam Waterston,899.0,7881335.0,Comedy|Crime|Thriller,Kathleen Turner,Serial Mom ,21212,3092,Traci Lords,4.0,dentist|housewife|howie scream|murder|perfection,http://www.imdb.com/title/tt0111127/?ref_=fn_tt_tt_1,107.0,English,USA,R,13000000.0,1994.0,849.0,6.7,1.66,3000,Kathleen_Turner|Sam_Waterston|Traci_Lords|John_Waters,9
Michael Chapman,21.0,98.0,70.0,90.0,Pamela Reed,876.0,1953732.0,Adventure|Drama|Fantasy,Curtis Armstrong,The Clan of the Cave Bear ,4996,1351,Mike Muscat,0.0,cave bear|cro magnon|neanderthal|survival|tradition,http://www.imdb.com/title/tt0090848/?ref_=fn_tt_tt_1,62.0,English,USA,R,15000000.0,1986.0,324.0,5.3,2.35,843,Curtis_Armstrong|Pamela_Reed|Mike_Muscat|Michael_Chapman,23
Andy Garcia,52.0,144.0,0.0,195.0,Victor Rivers,786.0,2483955.0,Drama|Romance,Danny Pino,The Lost City ,8369,1674,Enrique Murciano,0.0,1950s|cuba|cuban flag|fidel castro|havana cuba,http://www.imdb.com/title/tt0343996/?ref_=fn_tt_tt_1,165.0,English,USA,R,9600000.0,2005.0,228.0,6.7,1.85,957,Danny_Pino|Victor_Rivers|Enrique_Murciano|Andy_Garcia,3
Peter Ramsey,256.0,97.0,52.0,161.0,Kamil McFadden,20000.0,103400692.0,Adventure|Animation|Family|Fantasy,Hugh Jackman,Rise of the Guardians ,123553,20645,Khamani Griffin,0.0,belief|box office hit|children|new york city|tooth,http://www.imdb.com/title/tt1446192/?ref_=fn_tt_tt_1,174.0,English,USA,PG,145000000.0,2012.0,315.0,7.3,1.85,25000,Hugh_Jackman|Kamil_McFadden|Khamani_Griffin|Peter_Ramsey,4
Steven Spielberg,538.0,150.0,14000.0,655.0,Hal Holbrook,23000.0,182204440.0,Biography|Drama|History|War,Joseph Gordon-Levitt,Lincoln ,197412,25517,Bruce McGill,0.0,cultural conflict|politics|president|slavery|u.s. president,http://www.imdb.com/title/tt0443272/?ref_=fn_tt_tt_1,720.0,English,USA,PG-13,65000000.0,2012.0,826.0,7.4,2.35,71000,Joseph_Gordon-Levitt|Hal_Holbrook|Bruce_McGill|Steven_Spielberg,7
Martin Scorsese,233.0,216.0,17000.0,1000.0,Liam Neeson,29000.0,77679638.0,Crime|Drama,Leonardo DiCaprio,Gangs of New York ,314033,47657,Jim Broadbent,3.0,butcher|civil war|gangster|new york city|revenge,http://www.imdb.com/title/tt0217505/?ref_=fn_tt_tt_1,1166.0,English,USA,R,100000000.0,2002.0,14000.0,7.5,2.35,0,Leonardo_DiCaprio|Liam_Neeson|Jim_Broadbent|Martin_Scorsese,47
Stephen Sommers,202.0,130.0,208.0,591.0,Brendan Fraser,12000.0,202007640.0,Action|Adventure|Fantasy|Thriller,Dwayne Johnson,The Mummy Returns ,248045,15972,Patricia Velasquez,5.0,ancient egypt|bracelet|king|scorpion|son,http://www.imdb.com/title/tt0209163/?ref_=fn_tt_tt_1,890.0,English,USA,PG-13,98000000.0,2001.0,3000.0,6.3,2.35,0,Dwayne_Johnson|Brendan_Fraser|Patricia_Velasquez|Stephen_Sommers,16
Risa Bramon Garcia,67.0,101.0,112.0,612.0,Dave Chappelle,1000.0,6851636.0,Comedy|Drama|Romance,Janeane Garofalo,200 Cigarettes ,13010,2697,Gaby Hoffmann,5.0,bartender|friend|new year's eve|party|punk,http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1,182.0,English,USA,R,6000000.0,1999.0,744.0,5.9,1.85,0,Janeane_Garofalo|Dave_Chappelle|Gaby_Hoffmann|Risa_Bramon_Garcia,17
John Singleton,41.0,130.0,309.0,522.0,Snoop Dogg,939.0,28734552.0,Crime|Drama|Romance|Thriller,Mo'Nique,Baby Boy ,9566,3107,Angell Conwell,2.0,cartoon on tv|family relationships|physical abuse|single parent|two word title,http://www.imdb.com/title/tt0255819/?ref_=fn_tt_tt_1,81.0,English,USA,R,16000000.0,2001.0,881.0,6.4,1.85,1000,Mo'Nique|Snoop_Dogg|Angell_Conwell|John_Singleton,34
Dennis Dugan,97.0,96.0,221.0,110.0,Neil Diamond,240.0,19351569.0,Comedy|Crime|Romance,Amanda Detmer,Saving Silverman ,33287,664,Kyle Gass,1.0,female nudity|friend|kidnapping|love|nun,http://www.imdb.com/title/tt0239948/?ref_=fn_tt_tt_1,201.0,English,USA,PG-13,22000000.0,2001.0,226.0,5.9,1.85,739,Amanda_Detmer|Neil_Diamond|Kyle_Gass|Dennis_Dugan,8
F. Gary Gray,155.0,111.0,473.0,82.0,Charlize Theron,26000.0,106126012.0,Action|Crime|Thriller,Jason Statham,The Italian Job ,285623,35084,Jimmy Shubert,6.0,gold|heist|revenge|traffic jam|venice italy,http://www.imdb.com/title/tt0317740/?ref_=fn_tt_tt_1,497.0,English,USA,PG-13,60000000.0,2003.0,9000.0,7.0,2.35,0,Jason_Statham|Charlize_Theron|Jimmy_Shubert|F._Gary_Gray,41
Nora Ephron,252.0,123.0,0.0,923.0,Mary Lynn Rajskub,11000.0,94125426.0,Biography|Drama|Romance,Meryl Streep,Julie & Julia ,79264,13321,Vanessa Ferlito,2.0,american|blog|book|cook|cooking,http://www.imdb.com/title/tt1135503/?ref_=fn_tt_tt_1,277.0,English,USA,PG-13,40000000.0,2009.0,935.0,7.0,1.85,13000,Meryl_Streep|Mary_Lynn_Rajskub|Vanessa_Ferlito|Nora_Ephron,3
Andy Fickman,91.0,105.0,99.0,518.0,James Wolk,2000.0,25677801.0,Comedy|Family|Romance,Jamie Lee Curtis,You Again ,41273,4813,Christine Lakin,6.0,dancing|dog|flight|hostility|travel,http://www.imdb.com/title/tt1414382/?ref_=fn_tt_tt_1,136.0,English,USA,PG,20000000.0,2010.0,938.0,5.8,2.35,0,Jamie_Lee_Curtis|James_Wolk|Christine_Lakin|Andy_Fickman,8
Jonathan Frakes,143.0,111.0,906.0,906.0,Alfre Woodard,1000.0,92001027.0,Action|Adventure|Drama|Sci-Fi|Thriller,LeVar Burton,Star Trek: First Contact ,97838,6315,Jonathan Frakes,2.0,21st century|borg|borg sphere|captain|sphere,http://www.imdb.com/title/tt0117731/?ref_=fn_tt_tt_1,286.0,English,USA,PG-13,45000000.0,1996.0,1000.0,7.6,2.35,3000,LeVar_Burton|Alfre_Woodard|Jonathan_Frakes|Jonathan_Frakes,16
Christine Jeffs,195.0,91.0,19.0,260.0,Mary Lynn Rajskub,968.0,12055108.0,Comedy|Drama,Clifton Collins Jr.,Sunshine Cleaning ,61151,2528,Paul Dooley,0.0,business|crime scene cleanup|private school|school|sister sister relationship,http://www.imdb.com/title/tt0862846/?ref_=fn_tt_tt_1,134.0,English,USA,R,8000000.0,2008.0,934.0,6.9,2.35,0,Clifton_Collins_Jr.|Mary_Lynn_Rajskub|Paul_Dooley|Christine_Jeffs,27
Phillip Noyce,74.0,94.0,176.0,46.0,David Gulpilil,116.0,6165429.0,Adventure|Biography|Drama|History,Roy Billing,Rabbit-Proof Fence ,23486,312,Deborah Mailman,1.0,aborigine|based on true story|colonialism|fence|half caste,http://www.imdb.com/title/tt0252444/?ref_=fn_tt_tt_1,249.0,Aboriginal,Australia,PG,6000000.0,2002.0,93.0,7.5,2.35,0,Roy_Billing|David_Gulpilil|Deborah_Mailman|Phillip_Noyce,29
Ethan Coen,488.0,122.0,1000.0,883.0,Stephen Root,2000.0,74273505.0,Crime|Drama|Thriller,Kelly Macdonald,No Country for Old Men ,612060,4738,Barry Corbin,0.0,coin toss|desert|sheriff|texas|tracking device,http://www.imdb.com/title/tt0477348/?ref_=fn_tt_tt_1,1518.0,English,USA,R,25000000.0,2007.0,939.0,8.1,2.35,21000,Kelly_Macdonald|Stephen_Root|Barry_Corbin|Ethan_Coen,34
Mikael H??fstr??m,116.0,112.0,101.0,218.0,RZA,896.0,36020063.0,Drama|Thriller,Denis O'Hare,Derailed ,62584,2019,Xzibit,2.0,drink|hotel|police|staged rape|thief,http://www.imdb.com/title/tt0398017/?ref_=fn_tt_tt_1,375.0,English,USA,R,22000000.0,2005.0,561.0,6.6,2.35,0,Denis_O'Hare|RZA|Xzibit|Mikael_H??fstr??m,23
Kevin Rodney Sullivan,50.0,106.0,8.0,521.0,Sean Patrick Thomas,748.0,64955956.0,Comedy|Drama,Harry Lennix,Barbershop 2: Back in Business ,10104,3956,Kenan Thompson,4.0,barbecue|barbershop|blaxploitation|marriage|politics,http://www.imdb.com/title/tt0337579/?ref_=fn_tt_tt_1,69.0,English,USA,PG-13,18000000.0,2004.0,656.0,5.7,1.85,265,Harry_Lennix|Sean_Patrick_Thomas|Kenan_Thompson|Kevin_Rodney_Sullivan,27
Preston A. Whitmore II,37.0,117.0,17.0,912.0,Chris Brown,1000.0,49121934.0,Comedy|Drama|Romance,Mekhi Phifer,This Christmas ,6528,6554,Loretta Devine,9.0,christmas|family home|musician|piano|secret,http://www.imdb.com/title/tt0937375/?ref_=fn_tt_tt_1,32.0,English,USA,PG-13,13000000.0,2007.0,997.0,6.1,2.35,0,Mekhi_Phifer|Chris_Brown|Loretta_Devine|Preston_A._Whitmore_II,17
David Lean,181.0,227.0,767.0,87.0,Jos?? Ferrer,607.0,6000000.0,Adventure|Biography|Drama|History|War,Claude Rains,Lawrence of Arabia ,192775,1076,Jack Hawkins,8.0,arab|british military|desert|ottoman empire|t.e. lawrence,http://www.imdb.com/title/tt0056172/?ref_=fn_tt_tt_1,559.0,English,UK,PG,15000000.0,1962.0,202.0,8.4,2.2,11000,Claude_Rains|Jos??_Ferrer|Jack_Hawkins|David_Lean,7
Andrew Dominik,273.0,160.0,181.0,820.0,Jeremy Renner,11000.0,3904982.0,Biography|Crime|Drama|History|Western,Brad Pitt,The Assassination of Jesse James by the Coward Robert Ford ,136104,22516,Sam Shepard,0.0,long title|outlaw|robbery|train|train robbery,http://www.imdb.com/title/tt0443680/?ref_=fn_tt_tt_1,415.0,English,USA,R,30000000.0,2007.0,10000.0,7.5,2.35,0,Brad_Pitt|Jeremy_Renner|Sam_Shepard|Andrew_Dominik,29
David Gordon Green,232.0,117.0,234.0,919.0,Gary Cole,11000.0,87341380.0,Action|Comedy|Crime,James Franco,Pineapple Express ,255257,15590,Rosie Perez,3.0,murder|paranoia|process server|roach|stoner,http://www.imdb.com/title/tt0910936/?ref_=fn_tt_tt_1,374.0,English,USA,R,27000000.0,2008.0,989.0,7.0,2.35,0,James_Franco|Gary_Cole|Rosie_Perez|David_Gordon_Green,44
Ron Howard,298.0,146.0,2000.0,294.0,Ayelet Zurer,15000.0,133375846.0,Mystery|Thriller,Tom Hanks,Angels & Demons ,207839,16948,Armin Mueller-Stahl,2.0,conclave|illuminati|murder|reference to bernini|reference to raphael,http://www.imdb.com/title/tt0808151/?ref_=fn_tt_tt_1,435.0,English,USA,PG-13,150000000.0,2009.0,745.0,6.7,2.35,0,Tom_Hanks|Ayelet_Zurer|Armin_Mueller-Stahl|Ron_Howard,19
Pierre Morel,203.0,92.0,180.0,75.0,Amber Rose Revah,211.0,23324666.0,Action|Thriller,Kasia Smutniak,From Paris with Love ,97775,488,Rebecca Dayan,1.0,ambassador|cia|dinner|spy|terrorist,http://www.imdb.com/title/tt1179034/?ref_=fn_tt_tt_1,211.0,English,France,R,52000000.0,2010.0,135.0,6.5,2.35,0,Kasia_Smutniak|Amber_Rose_Revah|Rebecca_Dayan|Pierre_Morel,9
Richard Linklater,548.0,165.0,0.0,127.0,Lorelei Linklater,230.0,25359200.0,Drama,Ellar Coltrane,Boyhood ,266020,673,Libby Villari,0.0,12 year time span|coming of age|domestic abuse|growing up|separated parents,http://www.imdb.com/title/tt1065073/?ref_=fn_tt_tt_1,836.0,English,USA,R,4000000.0,2014.0,193.0,8.0,1.85,92000,Ellar_Coltrane|Lorelei_Linklater|Libby_Villari|Richard_Linklater,23
Rowan Joffe,149.0,92.0,17.0,231.0,Ben Crompton,14000.0,2963012.0,Drama|Mystery|Thriller,Colin Firth,Before I Go to Sleep ,48873,14617,Anne-Marie Duff,1.0,amnesia|female nudity|infidelity|nudity|therapist,http://www.imdb.com/title/tt1726592/?ref_=fn_tt_tt_1,105.0,English,UK,R,22000000.0,2014.0,257.0,6.3,2.35,11000,Colin_Firth|Ben_Crompton|Anne-Marie_Duff|Rowan_Joffe,13
Deb Hagan,42.0,94.0,0.0,664.0,Alona Tal,1000.0,4693919.0,Comedy,Drake Bell,College ,11011,4484,Haley Bennett,0.0,college|face slap|high school|loss of virginity|pierced nipple,http://www.imdb.com/title/tt0844671/?ref_=fn_tt_tt_1,78.0,English,USA,R,6500000.0,2008.0,1000.0,4.6,1.85,422,Drake_Bell|Alona_Tal|Haley_Bennett|Deb_Hagan,14
Seth Gordon,141.0,88.0,91.0,982.0,Robert Duvall,4000.0,120136047.0,Comedy|Drama|Romance,Jon Favreau,Four Christmases ,48500,9913,Katy Mixon,2.0,airport|christmas|news broadcast|tv broadcast|tv news,http://www.imdb.com/title/tt0369436/?ref_=fn_tt_tt_1,124.0,English,Germany,PG-13,80000000.0,2008.0,3000.0,5.6,1.85,0,Jon_Favreau|Robert_Duvall|Katy_Mixon|Seth_Gordon,17
Carl Rinsch,218.0,128.0,47.0,982.0,Cary-Hiroyuki Tagawa,18000.0,38297305.0,Action|Adventure|Drama|Fantasy,Keanu Reeves,47 Ronin ,116994,20965,Jin Akanishi,2.0,box office flop|ronin|samurai|shogun|tournament,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,324.0,English,USA,PG-13,175000000.0,2013.0,1000.0,6.3,2.35,35000,Keanu_Reeves|Cary-Hiroyuki_Tagawa|Jin_Akanishi|Carl_Rinsch,16
Thomas Carter,50.0,115.0,49.0,100.0,Matthew Daddario,116.0,30127963.0,Drama|Family|Sport,Jessie T. Usher,When the Game Stands Tall ,12596,525,Ser'Darius Blain,0.0,coach|high school football,http://www.imdb.com/title/tt2247476/?ref_=fn_tt_tt_1,64.0,English,USA,PG,15000000.0,2014.0,110.0,6.7,1.85,0,Jessie_T._Usher|Matthew_Daddario|Ser'Darius_Blain|Thomas_Carter,23
Edward Burns,36.0,98.0,0.0,73.0,Michael McGlone,138.0,10246600.0,Comedy|Drama|Romance,Shari Albert,The Brothers McMullen ,6375,388,Maxine Bahns,0.0,abusive father|critically acclaimed|loss of father|love|true love,http://www.imdb.com/title/tt0112585/?ref_=fn_tt_tt_1,36.0,English,USA,R,25000.0,1995.0,111.0,6.6,1.85,265,Shari_Albert|Michael_McGlone|Maxine_Bahns|Edward_Burns,17
Sterling Van Wagenen,4.0,100.0,0.0,266.0,Eric Johnson,1000.0,2024854.0,Drama|Western,Emily Podleski,The Work and the Glory II: American Zion ,564,1942,Brenda Strong,2.0,estrangement|missouri|mormon|mormon church|mormon temple,http://www.imdb.com/title/tt0457530/?ref_=fn_tt_tt_1,21.0,English,USA,PG-13,6500000.0,2005.0,373.0,6.6,2.35,19,Emily_Podleski|Eric_Johnson|Brenda_Strong|Sterling_Van_Wagenen,23
David Frankel,108.0,100.0,64.0,296.0,Kevin Pollak,734.0,7204138.0,Comedy,Joel McHale,The Big Year ,34809,2085,JoBeth Williams,0.0,alaska|birding|competition|migration|storm,http://www.imdb.com/title/tt1053810/?ref_=fn_tt_tt_1,125.0,English,USA,PG,41000000.0,2011.0,574.0,6.2,2.35,11000,Joel_McHale|Kevin_Pollak|JoBeth_Williams|David_Frankel,14
Doug Lefler,90.0,102.0,4.0,112.0,Nonso Anozie,14000.0,5932060.0,Action|Adventure|Fantasy|War,Colin Firth,The Last Legion ,29285,14625,Owen Teale,0.0,5th century|boy|capri|roman legion|soldier,http://www.imdb.com/title/tt0462396/?ref_=fn_tt_tt_1,174.0,English,UK,PG-13,35000000.0,2007.0,394.0,5.4,2.35,0,Colin_Firth|Nonso_Anozie|Owen_Teale|Doug_Lefler,16
Fenton Bailey,123.0,89.0,13.0,218.0,Bill Maher,373.0,653621.0,Biography|Documentary|History,Hugh M. Hefner,Inside Deep Throat ,5615,1136,Linda Lovelace,0.0,clitoris|deep throat|fellatio|oral sex|porn industry,http://www.imdb.com/title/tt0418753/?ref_=fn_tt_tt_1,64.0,English,USA,NC-17,2000000.0,2005.0,334.0,6.8,1.85,592,Hugh_M._Hefner|Bill_Maher|Linda_Lovelace|Fenton_Bailey,29
Richard LaGravenese,84.0,123.0,98.0,579.0,Scott Glenn,2000.0,36581633.0,Biography|Crime|Drama,Hunter Parrish,Freedom Writers ,52533,3994,Imelda Staunton,1.0,gang violence|high school|journal|marriage|teacher,http://www.imdb.com/title/tt0463998/?ref_=fn_tt_tt_1,235.0,English,Germany,PG-13,21000000.0,2007.0,826.0,7.5,1.85,10000,Hunter_Parrish|Scott_Glenn|Imelda_Staunton|Richard_LaGravenese,29
Josh Trank,369.0,100.0,128.0,78.0,Reg E. Cathey,596.0,56114221.0,Action|Adventure|Sci-Fi,Tim Blake Nelson,Fantastic Four ,110486,1261,Tim Heidecker,3.0,box office flop|critically bashed|portal|teleportation|troubled production,http://www.imdb.com/title/tt1502712/?ref_=fn_tt_tt_1,695.0,English,USA,PG-13,120000000.0,2015.0,360.0,4.3,2.35,41000,Tim_Blake_Nelson|Reg_E._Cathey|Tim_Heidecker|Josh_Trank,32
Lars von Trier,439.0,130.0,3000.0,844.0,Kirsten Dunst,10000.0,3029870.0,Drama|Sci-Fi,Alexander Skarsg??rd,Melancholia ,128729,15835,Charlotte Rampling,1.0,art director|breasts|depression|outdoor sex|riding a horse,http://www.imdb.com/title/tt1527186/?ref_=fn_tt_tt_1,551.0,English,Denmark,R,7400000.0,2011.0,4000.0,7.1,2.35,50000,Alexander_Skarsg??rd|Kirsten_Dunst|Charlotte_Rampling|Lars_von_Trier,43
Chris Roberts,85.0,100.0,38.0,362.0,David Suchet,811.0,11576087.0,Action|Adventure|Sci-Fi,Saffron Burrows,Wing Commander ,14747,2497,J??rgen Prochnow,3.0,27th century|fighter pilot|orchestral music score|outer space|space opera,http://www.imdb.com/title/tt0131646/?ref_=fn_tt_tt_1,338.0,English,USA,PG-13,30000000.0,1999.0,586.0,4.1,2.35,858,Saffron_Burrows|David_Suchet|J??rgen_Prochnow|Chris_Roberts,32
Paul Greengrass,267.0,123.0,521.0,265.0,Riz Ahmed,13000.0,108521835.0,Action|Thriller,Matt Damon,Jason Bourne ,40123,13752,Ato Essandoh,0.0,black ops|chase|cia|cia agent|repeated scene,http://www.imdb.com/title/tt4196776/?ref_=fn_tt_tt_1,297.0,English,UK,PG-13,120000000.0,2016.0,365.0,7.1,2.35,31000,Matt_Damon|Riz_Ahmed|Ato_Essandoh|Paul_Greengrass,10
Tony Scott,122.0,121.0,12000.0,975.0,Gary Oldman,11000.0,12281500.0,Action|Crime|Drama|Romance|Thriller,Brad Pitt,True Romance ,163492,23602,Michael Rapaport,3.0,aspiring actor|cocaine|drugs|pimp|suitcase full of money,http://www.imdb.com/title/tt0108399/?ref_=fn_tt_tt_1,460.0,English,USA,R,13000000.0,1993.0,10000.0,8.0,2.35,15000,Brad_Pitt|Gary_Oldman|Michael_Rapaport|Tony_Scott,9
John Carpenter,172.0,93.0,0.0,133.0,Peter Jason,355.0,13008928.0,Horror|Sci-Fi|Thriller,Meg Foster,They Live ,73501,837,George 'Buck' Flower,0.0,alien|brainwashing|construction worker|sunglasses|teleportation,http://www.imdb.com/title/tt0096256/?ref_=fn_tt_tt_1,333.0,English,USA,R,4000000.0,1988.0,151.0,7.3,2.35,27000,Meg_Foster|Peter_Jason|George_'Buck'_Flower|John_Carpenter,35
Sylvain Chomet,167.0,80.0,162.0,0.0,Charles Linton,23.0,7002255.0,Animation|Comedy|Drama,Michel Robin,The Triplets of Belleville ,42462,29,B??atrice Bonifassi,0.0,belleville|dog|mafia|tour de france|very little dialogue,http://www.imdb.com/title/tt0286244/?ref_=fn_tt_tt_1,312.0,French,France,PG-13,9500000.0,2003.0,6.0,7.8,1.66,0,Michel_Robin|Charles_Linton|B??atrice_Bonifassi|Sylvain_Chomet,27
Kelly Reichardt,189.0,80.0,129.0,26.0,Lucy,375.0,856942.0,Drama,John Robinson,Wendy and Lucy ,12241,460,Will Oldham,1.0,car|dog|flip phone|rape threat|vulnerable,http://www.imdb.com/title/tt1152850/?ref_=fn_tt_tt_1,112.0,English,USA,R,200000.0,2008.0,44.0,7.1,1.85,0,John_Robinson|Lucy|Will_Oldham|Kelly_Reichardt,23
Garry Marshall,103.0,116.0,0.0,995.0,Christopher Meloni,8000.0,152149590.0,Comedy|Romance,Julia Roberts,Runaway Bride ,74274,12790,Hector Elizondo,2.0,bride|columnist|journalist|maryland|wedding,http://www.imdb.com/title/tt0163187/?ref_=fn_tt_tt_1,255.0,English,USA,PG,70000000.0,1999.0,3000.0,5.5,2.35,0,Julia_Roberts|Christopher_Meloni|Hector_Elizondo|Garry_Marshall,8
John 'Bud' Cardos,95.0,97.0,8.0,22.0,Hoke Howell,423.0,17000000.0,Horror|Sci-Fi,Woody Strode,Kingdom of the Spiders ,3274,516,Tiffany Bolling,0.0,death|farm|hotel|spider|tarantula,http://www.imdb.com/title/tt0076271/?ref_=fn_tt_tt_1,84.0,English,USA,PG,500000.0,1977.0,23.0,5.9,1.85,0,Woody_Strode|Hoke_Howell|Tiffany_Bolling|John_'Bud'_Cardos,35
Chuck Sheetz,44.0,82.0,6.0,345.0,Andrew Lawrence,759.0,36696761.0,Animation|Comedy|Family|Mystery|Sci-Fi,Diedrich Bader,Recess: School's Out ,6808,2197,Dabney Coleman,0.0,friend|principal|summer|summer camp|summer vacation,http://www.imdb.com/title/tt0265632/?ref_=fn_tt_tt_1,38.0,English,USA,G,23000000.0,2001.0,563.0,6.5,1.85,227,Diedrich_Bader|Andrew_Lawrence|Dabney_Coleman|Chuck_Sheetz,21
Lewis Gilbert,121.0,126.0,43.0,177.0,Lois Chiles,244.0,62700000.0,Action|Adventure|Sci-Fi|Thriller,Desmond Llewelyn,Moonraker ,69534,1008,Lois Maxwell,2.0,astronaut|dog|official james bond series|space shuttle|space shuttle transported on a 747,http://www.imdb.com/title/tt0079574/?ref_=fn_tt_tt_1,294.0,English,UK,PG,34000000.0,1979.0,202.0,6.3,2.35,0,Desmond_Llewelyn|Lois_Chiles|Lois_Maxwell|Lewis_Gilbert,16
Andrew Adamson,258.0,150.0,80.0,201.0,Pierfrancesco Favino,22000.0,141614023.0,Action|Adventure|Family|Fantasy,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,149922,22697,Dami??n Alc??zar,4.0,brother brother relationship|brother sister relationship|good versus evil|king|narnia,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,438.0,English,USA,PG,225000000.0,2008.0,216.0,6.6,2.35,0,Peter_Dinklage|Pierfrancesco_Favino|Dami??n_Alc??zar|Andrew_Adamson,4
Robert Rodriguez,56.0,81.0,0.0,6.0,Peter Marquardt,121.0,2040920.0,Action|Crime|Drama|Romance|Thriller,Carlos Gallardo,El Mariachi ,52055,147,Consuelo G??mez,0.0,assassin|death|guitar|gun|mariachi,http://www.imdb.com/title/tt0104815/?ref_=fn_tt_tt_1,130.0,Spanish,USA,R,7000.0,1992.0,20.0,6.9,1.37,0,Carlos_Gallardo|Peter_Marquardt|Consuelo_G??mez|Robert_Rodriguez,9
Joey Lauren Adams,36.0,97.0,781.0,90.0,Diane Ladd,596.0,117560.0,Drama|Romance,Tim Blake Nelson,Come Early Morning ,2330,1081,Ritchie Montgomery,0.0,church|drink|knocking on a door|love|three word title,http://www.imdb.com/title/tt0457308/?ref_=fn_tt_tt_1,29.0,English,USA,R,6000000.0,2006.0,206.0,6.2,1.85,224,Tim_Blake_Nelson|Diane_Ladd|Ritchie_Montgomery|Joey_Lauren_Adams,3
Norman Ferguson,105.0,88.0,3.0,40.0,Dickie Jones,1000.0,84300000.0,Animation|Family|Fantasy|Musical,Mel Blanc,Pinocchio ,90360,1178,Cliff Edwards,0.0,boy|conscience|fairy|jiminy cricket|pinocchio,http://www.imdb.com/title/tt0032910/?ref_=fn_tt_tt_1,147.0,English,USA,Approved,2600000.0,1940.0,48.0,7.5,1.37,0,Mel_Blanc|Dickie_Jones|Cliff_Edwards|Norman_Ferguson,4
Peter Jackson,446.0,201.0,0.0,84.0,Thomas Kretschmann,6000.0,218051260.0,Action|Adventure|Drama|Romance,Naomi Watts,King Kong ,316018,7123,Evan Parke,0.0,animal name in title|ape abducts a woman|gorilla|island|king kong,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618.0,English,New Zealand,PG-13,207000000.0,2005.0,919.0,7.2,2.35,0,Naomi_Watts|Thomas_Kretschmann|Evan_Parke|Peter_Jackson,3
